"Week","Skill","approved","category","generated_at","job_count","match","recommendation","resume_key","review_id","review_status","run_utc","s3_uri","skill"
"2026-W1-v1","looker","true","technical","2026-03-15T02:02:01.606714+00:00","3","false","{""explanation"":{""S"":""Looker is a popular data visualization and business intelligence tool used in many data science roles.""},""first_step"":{""S"":""Sign up for a free Looker trial and complete the introductory tutorials on their website.""},""skill"":{""S"":""looker""}}","resume_LY_Jan_12/Resume_03_10.txt","9b2eac8f-0e29-447d-8a01-3dda7395ecb7","APPROVED","2026-03-15T01:58:23.664635+00:00","s3://job-skill-tracker-linyu-v1/results/2026-W1-v1/recommendations.json","looker"
"2026-W1-v1","power bi","true","technical","2026-03-15T02:02:01.606714+00:00","3","false","{""explanation"":{""S"":""Power BI is a business analytics service by Microsoft that allows data visualization and reporting.""},""first_step"":{""S"":""Download the free Power BI Desktop application and follow the 'Getting Started' guide on Microsoft's website.""},""skill"":{""S"":""power bi""}}","resume_LY_Jan_12/Resume_03_10.txt","9b2eac8f-0e29-447d-8a01-3dda7395ecb7","APPROVED","2026-03-15T01:58:23.664635+00:00","s3://job-skill-tracker-linyu-v1/results/2026-W1-v1/recommendations.json","power bi"
"2026-W5-v1","adaptability","true","soft","2026-03-15T01:58:49.430841+00:00","3","false","{""explanation"":{""S"":""Adaptability is a crucial soft skill for data scientists to navigate changing requirements and technologies.""},""first_step"":{""S"":""Reflect on a recent situation where you had to adapt to a change and write down how you approached it.""},""skill"":{""S"":""adaptability""}}","resume_LY_Jan_12/Resume_03_10.txt","d2392cb7-a75f-491f-92b0-b505fd15e8a5","APPROVED","2026-03-15T01:57:12.063889+00:00","s3://job-skill-tracker-linyu-v1/results/2026-W5-v1/recommendations.json","adaptability"
"2026-W5-v1","cohort analysis","true","technical","2026-03-15T01:58:49.430841+00:00","2","false","{""explanation"":{""S"":""Cohort analysis is a technique used to analyze user behavior and retention over time.""},""first_step"":{""S"":""Read an introductory article or watch a video tutorial on cohort analysis and its applications.""},""skill"":{""S"":""cohort analysis""}}","resume_LY_Jan_12/Resume_03_10.txt","d2392cb7-a75f-491f-92b0-b505fd15e8a5","APPROVED","2026-03-15T01:57:12.063889+00:00","s3://job-skill-tracker-linyu-v1/results/2026-W5-v1/recommendations.json","cohort analysis"
"2026-W5-v1","dbt","true","technical","2026-03-15T01:58:49.430841+00:00","3","false","{""explanation"":{""S"":""dbt (data build tool) is a popular tool for data transformation and modeling in the analytics engineering workflow.""},""first_step"":{""S"":""Read the official dbt documentation and set up a sample dbt project on your local machine.""},""skill"":{""S"":""dbt""}}","resume_LY_Jan_12/Resume_03_10.txt","d2392cb7-a75f-491f-92b0-b505fd15e8a5","APPROVED","2026-03-15T01:57:12.063889+00:00","s3://job-skill-tracker-linyu-v1/results/2026-W5-v1/recommendations.json","dbt"
"2026-W5-v1","snowflake","true","technical","2026-03-15T01:58:49.430841+00:00","4","false","{""explanation"":{""S"":""Snowflake is a popular cloud data platform used by many companies for data storage and analytics.""},""first_step"":{""S"":""Sign up for a free Snowflake trial account and complete the introductory tutorials.""},""skill"":{""S"":""snowflake""}}","resume_LY_Jan_12/Resume_03_10.txt","d2392cb7-a75f-491f-92b0-b505fd15e8a5","APPROVED","2026-03-15T01:57:12.063889+00:00","s3://job-skill-tracker-linyu-v1/results/2026-W5-v1/recommendations.json","snowflake"
"2026-W2-v1","adaptability","true","soft","2026-03-15T02:02:38.611192+00:00","3","false","{""explanation"":{""S"":""Data science roles require flexibility to work with evolving technologies and business needs.""},""first_step"":{""S"":""Read articles on how data scientists adapt to changing requirements and new tools.""},""skill"":{""S"":""adaptability""}}","resume_LY_Jan_12/Resume_03_10.txt","0c2fba8c-e560-4da6-bbb5-9ecd612ded74","APPROVED","2026-03-15T01:58:53.779426+00:00","s3://job-skill-tracker-linyu-v1/results/2026-W2-v1/recommendations.json","adaptability"
"2026-W2-v1","data mining","true","technical","2026-03-15T02:02:38.611192+00:00","3","false","{""explanation"":{""S"":""Data mining techniques are essential for extracting insights from large datasets.""},""first_step"":{""S"":""Complete an online course or tutorial on data mining concepts and algorithms.""},""skill"":{""S"":""data mining""}}","resume_LY_Jan_12/Resume_03_10.txt","0c2fba8c-e560-4da6-bbb5-9ecd612ded74","APPROVED","2026-03-15T01:58:53.779426+00:00","s3://job-skill-tracker-linyu-v1/results/2026-W2-v1/recommendations.json","data mining"
"2026-W2-v1","snowflake","true","technical","2026-03-15T02:02:38.611192+00:00","3","false","{""explanation"":{""S"":""Snowflake is a popular cloud data platform used for data storage and analytics.""},""first_step"":{""S"":""Sign up for a free Snowflake trial account and follow their getting started guides.""},""skill"":{""S"":""snowflake""}}","resume_LY_Jan_12/Resume_03_10.txt","0c2fba8c-e560-4da6-bbb5-9ecd612ded74","APPROVED","2026-03-15T01:58:53.779426+00:00","s3://job-skill-tracker-linyu-v1/results/2026-W2-v1/recommendations.json","snowflake"
"2026-W2-v1","spark","true","technical","2026-03-15T02:02:38.611192+00:00","3","false","{""explanation"":{""S"":""Apache Spark is a powerful framework for distributed data processing and machine learning.""},""first_step"":{""S"":""Install Spark locally and work through examples in the Spark documentation or online tutorials.""},""skill"":{""S"":""spark""}}","resume_LY_Jan_12/Resume_03_10.txt","0c2fba8c-e560-4da6-bbb5-9ecd612ded74","APPROVED","2026-03-15T01:58:53.779426+00:00","s3://job-skill-tracker-linyu-v1/results/2026-W2-v1/recommendations.json","spark"
